[babble][лепетать болтать]
[badger][изводить травить]
[baffle][запутывать озадачивать]
[bait][приманка искушение]
[baleful][гибельный зловещий]
[balk][препятствовать упираться]
[balm][бальзам утешение]
[banal][банальный заурядный]
[bane][проклятие бич]
[banish][изгонять прогонять]
[barrage][преграда шквал]
[barren][бесплодный пустой]
[bask][нежиться наслаждаться]
[bedlam][бедлам суматоха]
[befuddle][одурманивать запутывать]
[beguile][обольщать обманывать]
[beholden][обязанный признательный]
[belated][запоздалый поздний]
[belie][противоречить искажать]
[belittle][уменьшать умалять]
[belligerent][воинственный враждебный]
[bemoan][оплакивать сетовать]
[benign][доброкачественный мягкий]
[bequeath][завещать передавать]
[berate][ругать бранить]
[bereft][лишенный утративший]
[beseech][умолять заклинать]
[bestow][даровать дарить]
[bewilder][ошеломлять смущать]
[blatant][вопиющий явный]
