[cajole][забривать умасливать]
[callous][черствый бездушный]
[callow][неопытный незрелый]
[calumny][клевета навет]
[candor][искренность откровенность]
[canny][осторожный расчетливый]
[capacious][вместительный просторный]
[capricious][капризный своенравный]
[captivate][очаровывать пленять]
[castigate][бичевать наказывать]
[caustic][едкий язвительный]
[cede][уступать передавать]
[celerity][быстрота стремительность]
[censure][порицать осуждать]
[chagrin][досада огорчение]
[charlatan][шарлатан обманщик]
[chary][осторожный бережливый]
[chasten][исправлять сдерживать]
[cherish][лелеять ценить]
[chide][ругать упрекать]
[circumspect][осмотрительный осторожный]
[clandestine][тайный скрытый]
[clemency][милосердие мягкость]
[coerce][принуждать заставлять]
[cogent][убедительный веский]
[cognizant][осведомленный знающий]
[collusion][сговор стачка]
[commensurate][соразмерный соответствующий]
[complacent][самодовольный удовлетворенный]
[conciliatory][примирительный соглашательский]
