[dally][баловаться медлить]
[dank][сырой влажный]
[daunt][устрашать запугивать]
[dearth][дефицит нехватка]
[debacle][фиаско разгром]
[debase][унижать обесценивать]
[debilitate][ослаблять изнурять]
[debunk][разоблачать вскрывать]
[decorum][приличие этикет]
[decrepit][дряхлый ветхий]
[decry][осуждать порицать]
[deface][портить уродовать]
[deference][уважение почтение]
[defile][осквернять пачкать]
[deft][ловкий искусный]
[defunct][умерший недействующий]
[deign][соизволить снизойти]
[deleterious][вредный губительный]
[delineate][описывать очерчивать]
[deluge][потоп наводнение]
[demure][скромный серьезный]
[denigrate][порочить чернить]
[deplete][истощать исчерпывать]
[deplore][оплакивать сокрушаться]
[depravity][порочность разврат]
[deride][высмеивать издеваться]
[derogatory][унизительный обидный]
[desiccate][высушивать обезвоживать]
[despondent][унылый отчаявшийся]
[destitute][нуждающийся бедный]
