[ebullient][кипучий восторженный]
[eccentric][эксцентричный странный]
[eclectic][эклектичный разнородный]
[edify][наставл€ть просвещать]
[efface][стирать изглаживать]
[effervescent][пузыр€щийс€ жизнерадостный]
[efficacy][эффективность действенность]
[effigy][изва€ние чучело]
[effrontery][наглость беспардонность]
[effusive][экспрессивный излишний]
[egalitarian][равноправный эгалитарный]
[egregious][вопиющий ужасный]
[elated][ликующий радостный]
[elicit][вы€вл€ть извлекать]
[eloquent][красноречивый убедительный]
[elucidate][разъ€сн€ть освещать]
[elusive][неуловимый ускользающий]
[emaciated][истощенный изможденный]
[embellish][украшать приукрашивать]
[embezzle][присваивать растрачивать]
[emend][исправл€ть улучшать]
[eminent][выдающийс€ видный]
[empathy][сопереживание сочувствие]
[empirical][эмпирический опытный]
[emulate][подражать имитировать]
[enervate][ослабл€ть обессиливать]
[engender][порождать вызывать]
[enigma][загадка головоломка]
[enmity][вражда непри€знь]
[equanimity][хладнокровие спокойствие]
