[fabricate][выдумывать подделывать]
[facade][фасад видимость]
[facetious][шутливый остроумный]
[facile][легкий поверхностный]
[fallacious][ложный ошибочный]
[fallow][непаханый заброшенный]
[falter][колебаться спотыкаться]
[fastidious][требовательный привередливый]
[fathom][постигать измерять]
[fatuous][глупый бессмысленный]
[fawning][подобострастный льстивый]
[feasible][выполнимый возможный]
[fecund][плодородный продуктивный]
[feign][притворяться симулировать]
[felicity][счастье блаженство]
[fervent][пылкий страстный]
[fester][гнить нарывать]
[fetid][вонючий зловонный]
[fetter][сковывать ограничивать]
[fickle][непостоянный переменчивый]
[fidelity][верность преданность]
[finesse][ловкость мастерство]
[flagrant][вопиющий ужасный]
[flamboyant][яркий вычурный]
[flaunt][щеголять выставлять]
[fledgling][неопытный начинающий]
[flippant][легкомысленный дерзкий]
[flout][попирать презирать]
[foible][слабость пунктик]
[foster][способствовать поощрять]
