[aback][смущённый]
[abase][унижать понижать]
[abash][смущать пристыдить]
[abate][уменьшать сбавлять]
[abdicate][отрекаться отказываться]
[abduction][похищение увод]
[aberration][уклонение заблуждение]
[abet][подстрекать содействовать]
[abide][пребывать жить терпеть]
[ability][способность умение платёжеспособность]
[abject][жалкий несчастный]
[abnegation][отречение отказ]
[abode][жилище местопребывание]
[abound][изобиловать кишеть]
[abrade][сдирать шлифовать]
[abrogate][отменять]
[abrupt][обрывистый крутой]
[abscission][отнятие ампутация]
[absence][отсутствие неявка]
[absent-minded][рассеянный]
[absolute][безусловный неограниченный]
[absolution][прощение оправдание освобождение]
[absorb][поглощать всасывать]
[abstain][воздерживаться]
[abstract][отвлечённый абстрактный]
[abstruse][неясный непонятный]
[abuse][злоупотребление оскорбление]
[abut][примыкать граничить]
[abysmal][бездонный]
apple][яблоко]
[apple23][яблоко]
[apple[яблоко]
[apple]яблоко]
[apple][яблоко1]
[apple][яблоко
[babble][лепетать болтать]
[badger][изводить травить]
[baffle][запутывать озадачивать]
[bait][приманка искушение]
[baleful][гибельный зловещий]
[balk][препятствовать упираться]
[balm][бальзам утешение]
[banal][банальный заурядный]
[bane][проклятие бич]
[banish][изгонять прогонять]
[barrage][преграда шквал]
[barren][бесплодный пустой]
[bask][нежиться наслаждаться]
[bedlam][бедлам суматоха]
[befuddle][одурманивать запутывать]
[beguile][обольщать обманывать]
[beholden][обязанный признательный]
[belated][запоздалый поздний]
[belie][противоречить искажать]
[belittle][уменьшать умалять]
[belligerent][воинственный враждебный]
[bemoan][оплакивать сетовать]
[benign][доброкачественный мягкий]
[bequeath][завещать передавать]
[berate][ругать бранить]
[bereft][лишенный утративший]
[beseech][умолять заклинать]
[bestow][даровать дарить]
[bewilder][ошеломлять смущать]
[blatant][вопиющий явный]
[cajole][забривать умасливать]
[callous][черствый бездушный]
[callow][неопытный незрелый]
[calumny][клевета навет]
[candor][искренность откровенность]
[canny][осторожный расчетливый]
[capacious][вместительный просторный]
[capricious][капризный своенравный]
[captivate][очаровывать пленять]
[castigate][бичевать наказывать]
[caustic][едкий язвительный]
[cede][уступать передавать]
[celerity][быстрота стремительность]
[censure][порицать осуждать]
[chagrin][досада огорчение]
[charlatan][шарлатан обманщик]
[chary][осторожный бережливый]
[chasten][исправлять сдерживать]
[cherish][лелеять ценить]
[chide][ругать упрекать]
[circumspect][осмотрительный осторожный]
[clandestine][тайный скрытый]
[clemency][милосердие мягкость]
[coerce][принуждать заставлять]
[cogent][убедительный веский]
[cognizant][осведомленный знающий]
[collusion][сговор стачка]
[commensurate][соразмерный соответствующий]
[complacent][самодовольный удовлетворенный]
[conciliatory][примирительный соглашательский]
[dally][баловаться медлить]
[dank][сырой влажный]
[daunt][устрашать запугивать]
[dearth][дефицит нехватка]
[debacle][фиаско разгром]
[debase][унижать обесценивать]
[debilitate][ослаблять изнурять]
[debunk][разоблачать вскрывать]
[decorum][приличие этикет]
[decrepit][дряхлый ветхий]
[decry][осуждать порицать]
[deface][портить уродовать]
[deference][уважение почтение]
[defile][осквернять пачкать]
[deft][ловкий искусный]
[defunct][умерший недействующий]
[deign][соизволить снизойти]
[deleterious][вредный губительный]
[delineate][описывать очерчивать]
[deluge][потоп наводнение]
[demure][скромный серьезный]
[denigrate][порочить чернить]
[deplete][истощать исчерпывать]
[deplore][оплакивать сокрушаться]
[depravity][порочность разврат]
[deride][высмеивать издеваться]
[derogatory][унизительный обидный]
[desiccate][высушивать обезвоживать]
[despondent][унылый отчаявшийся]
[destitute][нуждающийся бедный]
[ebullient][кипучий восторженный]
[eccentric][эксцентричный странный]
[eclectic][эклектичный разнородный]
[edify][наставлять просвещать]
[efface][стирать изглаживать]
[effervescent][пузырящийся жизнерадостный]
[efficacy][эффективность действенность]
[effigy][изваяние чучело]
[effrontery][наглость беспардонность]
[effusive][экспрессивный излишний]
[egalitarian][равноправный эгалитарный]
[egregious][вопиющий ужасный]
[elated][ликующий радостный]
[elicit][выявлять извлекать]
[eloquent][красноречивый убедительный]
[elucidate][разъяснять освещать]
[elusive][неуловимый ускользающий]
[emaciated][истощенный изможденный]
[embellish][украшать приукрашивать]
[embezzle][присваивать растрачивать]
[emend][исправлять улучшать]
[eminent][выдающийся видный]
[empathy][сопереживание сочувствие]
[empirical][эмпирический опытный]
[emulate][подражать имитировать]
[enervate][ослаблять обессиливать]
[engender][порождать вызывать]
[enigma][загадка головоломка]
[enmity][вражда неприязнь]
[equanimity][хладнокровие спокойствие]
[fabricate][выдумывать подделывать]
[facade][фасад видимость]
[facetious][шутливый остроумный]
[facile][легкий поверхностный]
[fallacious][ложный ошибочный]
[fallow][непаханый заброшенный]
[falter][колебаться спотыкаться]
[fastidious][требовательный привередливый]
[fathom][постигать измерять]
[fatuous][глупый бессмысленный]
[fawning][подобострастный льстивый]
