[gainsay][отрицать оспаривать]
[gall][раздражать уязвлять]
[galvanize][возбуждать оживлять]
[gambit][уловка маневр]
[gamut][гамма диапазон]
[garish][яркий кричащий]
[garner][копить собирать]
[garrulous][болтливый словоохотливый]
[gauche][неуклюжий бестактный]
[gaunt][изможденный худой]
[genial][добродушный приветливый]
[germane][уместный подходящий]
[ghastly][ужасный жуткий]
[gibe][насмехаться издеваться]
[giddy][легкомысленный головокружительный]
[glib][гладкий поверхностный]
[glower][сердиться хмуриться]
[glut][избыток пресыщение]
[goad][подгонять стимулировать]
[gorge][обжираться жадничать]
[gossamer][тонкий прозрачный]
[gourmet][гурман лакомка]
[grandiose][грандиозный величественный]
[gratuitous][безвозмездный необоснованный]
[gregarious][общительный стадный]
[grievance][жалоба обида]
[grimace][гримаса ужимка]
[grovel][пресмыкаться унижаться]
[guile][хитрость коварство]
[gullible][доверчивый наивный]
