[hallow][освящать почитать]
[hallucination][галлюцинация бред]
[hamper][препятствовать мешать]
[haphazard][случайный беспорядочный]
[hapless][несчастный горемычный]
[harangue][разглагольствовать тирада]
[harass][изводить беспокоить]
[harbinger][предвестник вестник]
[hardy][выносливый стойкий]
[harrowing][мучительный терзающий]
[haughty][надменный высокомерный]
[haven][убежище гавань]
[havoc][опустошение разгром]
[hazard][опасность риск]
[headstrong][упрямый своенравный]
[hearken][прислушиваться внимать]
[hectic][лихорадочный суматошный]
[hector][запугивать задирать]
[heed][внимать учитывать]
[heinous][чудовищный гнусный]
[herald][возвещать объявлять]
[heresy][ересь заблуждение]
[hermetic][герметичный закрытый]
[heyday][расцвет зенит]
[hiatus][пробел перерыв]
[hideous][отвратительный уродливый]
[hinder][задерживать препятствовать]
[histrionic][театральный наигранный]
[hoary][седой древний]
[homage][почтение дань]
