[iconoclast][бунтарь иконоборец]
[idiosyncrasy][особенность своеобразие]
[ignominious][позорный бесчестный]
[illicit][незаконный запретный]
[imbue][наполнять пропитывать]
[immaculate][безупречный чистый]
[immutable][неизменный постоянный]
[impassive][бесстрастный невозмутимый]
[impeccable][безупречный совершенный]
[impede][препятствовать затруднять]
[imperious][властный повелительный]
[impetuous][импульсивный стремительный]
[impious][нечестивый безбожный]
[implacable][неумолимый непримиримый]
[implicit][неявный подразумеваемый]
[implore][умолять заклинать]
[impudent][наглый дерзкий]
[impugn][оспаривать опровергать]
[inane][пустой глупый]
[incessant][непрерывный постоянный]
[incisive][острый проницательный]
[incite][подстрекать побуждать]
[indigent][бедный нуждающийся]
[indolent][ленивый праздный]
[inefable][невыразимый несказанный]
[inert][инертный вялый]
[infamous][печальноизвестный позорный]
[ingenuous][искренний простодушный]
[inherent][присущий врожденный]
[innocuous][безвредный безобидный]
