[keen][острый страстный]
[ken][кругозор знание]
[kernel][ядро основа]
[killjoy][зануда ворчун]
[kindle][зажигать возбуждать]
[kindred][родственный близкий]
[kinetic][кинетический подвижный]
[kinship][родство близость]
[kismet][судьба рок]
[knack][смекалка навык]
[knave][плут мошенник]
[knead][месить замешивать]
[knell][звон предзнаменование]
[knit][вязать скреплять]
[knoll][холм бугор]
[knotty][запутанный сложный]
[kowtow][пресмыкаться кланяться]
[kudos][похвала слава]
[knave][жулик хитрец]
[kind][добрый сорт]
[keepsake][сувенир память]
[keyboard][клавиатура раскладка]
[keynote][основа лейтмотив]
[kicker][неожиданность изюминка]
[kidnap][похищать уводить]
[kilter][порядок исправность]
[kink][изгиб странность]
[kleptomania][клептомания воровство]
[knighthood][рыцарство достоинство]
[knobby][узловатый шишковатый]
