[labyrinth][лабиринт путаница]
[lacerate][раздирать терзать]
[lachrymose][плаксивый слезливый]
[lackadaisical][вялый апатичный]
[lackey][лакей прислужник]
[laconic][лаконичный краткий]
[lag][отставать медлить]
[lament][оплакивать сокрушаться]
[lampoon][высмеивать пасквиль]
[languid][томный вялый]
[languish][изнывать чахнуть]
[larceny][кража воровство]
[largesse][щедрость дары]
[lassitude][усталость апатия]
[latent][скрытый латентный]
[laud][хвалить превозносить]
[lavish][расточительный обильный]
[lax][слабый небрежный]
[leery][осторожный подозрительный]
[legible][разборчивый четкий]
[lenient][снисходительный мягкий]
[lethargic][сонный вялый]
[levity][легкомыслие ветреность]
[lewd][похотливый распутный]
[liability][ответственность обязательство]
[libel][клевета навет]
[licentious][разнузданный распущенный]
[limpid][прозрачный ясный]
[lithe][гибкий изящный]
[loathe][ненавидеть презирать]
