[macabre][жуткий мрачный]
[machination][махинация интрига]
[magnanimous][великодушный благородный]
[magnate][магнат делец]
[malady][болезнь недуг]
[malice][злоба злоумысел]
[malign][порочить вредный]
[malleable][податливый гибкий]
[mandate][мандат поручение]
[manifest][проявлять очевидный]
[mar][портить повреждать]
[marginal][незначительный крайний]
[maverick][индивидуалист бунтарь]
[meager][скудный тощий]
[meander][бродить извиваться]
[meddle][вмешиваться лезть]
[mediocre][посредственный заурядный]
[melancholy][меланхолия уныние]
[mellifluous][мелодичный сладкозвучный]
[menace][угроза опасность]
[mendacious][лживый обманчивый]
[mercurial][непостоянный подвижный]
[merit][заслуга достоинство]
[meticulous][тщательный дотошный]
[mettle][характер выдержка]
[mimic][подражать имитировать]
[minuscule][крошечный мизерный]
[mirth][веселье радость]
[misanthrope][мизантроп человеконенавистник]
[mitigate][смягчать уменьшать]
