[fickle][непостоянный переменчивый]
[abhor][ненавидеть презирать]
[gregarious][общительный стадный]
[debacle][фиаско разгром]
[immutable][неизменный постоянный]
[cajole][забривать умасливать]
[heinous][чудовищный гнусный]
[latent][скрытый латентный]
[obdurate][упрямый черствый]
[nefarious][гнусный нечестивый]
[venerate][почитать чтить]
[dearth][дефицит нехватка]
[fastidious][требовательный привередливый]
[ubiquitous][вездесущий повсеместный]
[laconic][лаконичный краткий]
[enigma][загадка головоломка]
[loathe][ненавидеть презирать]
[mitigate][смягчать уменьшать]
[trepidation][трепет беспокойство]
[belittle][уменьшать умалять]
[candor][искренность откровенность]
[jaded][изнуренный пресыщенный]
[tenacious][цепкий упорный]
[wary][осторожный подозрительный]
[zealot][фанатик приверженец]
[instigate][подстрекать провоцировать]
[elated][ликующий радостный]
[callous][черствый бездушный]
[fortuitous][случайный удачный]
[harass][изводить беспокоить]
[impeccable][безупречный совершенный]
[lament][оплакивать сокрушаться]
[malleable][податливый гибкий]
[noxious][вредный ядовитый]
[opaque][непрозрачный матовый]
[perjury][лжесвидельство клятвопреступление]
[quaint][необычный причудливый]
[rancor][злоба вражда]
[sedentary][сидячий малоподвижный]
[thwart][препятствовать мешать]
[urbane][вежливый изысканный]
[verbose][многословный болтливый]
[wither][вянуть сохнуть]
[zenith][зенит вершина]
[adroit][ловкий искусный]
[benevolent][благожелательный добрый]
[capricious][капризный своенравный]
[deleterious][вредный пагубный]
[efface][стирать изглаживать]
[flamboyant][яркий вычурный]
[guile][хитрость коварство]
[haughty][надменный высокомерный]
[insidious][коварный скрытый]
[jovial][общительный веселый]
[knack][смекалка навык]
[lucid][ясный понятный]
[meticulous][тщательный дотошный]
[nascent][возникающий рождающийся]
[oblivion][забвение небытие]
[pensive][задумчивый печальный]
[quandary][затруднение недоумение]
[rebuke][упрекать корить]
[spurious][ложный поддельный]
[transient][преходящий временный]
[unruly][непослушный буйный]
[vacuous][пустой бессодержательный]
[wanton][беспричинный распутный]
[alacrity][готовность рвение]
[blatant][вопиющий явный]
[cogent][убедительный веский]
[demure][скромный серьезный]
[ebullient][кипучий восторженный]
[feign][притворяться симулировать]
[garrulous][болтливый словоохотливый]
[hapless][несчастный горемычный]
[impetuous][импульсивный стремительный]
[judicious][рассудительный разумный]
[kindle][зажигать возбуждать]
[lethargic][сонный вялый]
[magnanimous][великодушный благородный]
[negligence][халатность небрежность]
[ostentatious][показной хвастливый]
[pervasive][вездесущий всеобъемлющий]
[quell][подавлять успокаивать]
[remorse][раскаяние угрызения]
[scrupulous][добросовестный тщательный]
[taciturn][молчаливый замкнутый]
[upbraid][укорять бранить]
[vivid][яркий живой]
[waver][колебаться дрогнуть]
[absolution][прощение оправдание]
[belligerent][воинственный враждебный]
[clandestine][тайный скрытый]
[disdain][презрение пренебрежение]
[eloquent][красноречивый убедительный]
[foster][способствовать поощрять]
[glib][гладкий поверхностный]
[heed][внимать учитывать]
[indigent][бедный нуждающийся]
