[nab][схватить арестовать]
[nadir][упадок низину]
[naive][наивный простодушный]
[narcissism][нарциссизм самовлюбленность]
[nascent][возникающий рождающийся]
[natter][болтать тараторить]
[naughty][капризный непослушный]
[nausea][тошнота отвращение]
[nebulous][туманный расплывчатый]
[nefarious][гнyсный нечестивый]
[negate][отрицать опровергать]
[negligence][халатность небрежность]
[nemesis][возмездие мститель]
[neophyte][новичок неофит]
[nepotism][кумовство протекция]
[nettle][раздражать уязвлять]
[neutralize][нейтрализовать подавлять]
[nexus][связь узел]
[niggardly][скупой жадный]
[nimble][ловкий шустрый]
[nirvana][блаженство покой]
[noble][благородный знатный]
[nocturnal][ночной полуночный]
[noisome][вредный зловонный]
[nomadic][кочевой бродячий]
[nominal][номинальный формальный]
[nonchalant][беспечный небрежный]
[nonentity][ничтожество пустышка]
[nostalgia][ностальгия тоска]
[notorious][пресловутый известный]
