[pacify][умиротворять успокаивать]
[pact][договор соглашение]
[palatable][вкусный приемлемый]
[palliate][смягчать облегчать]
[palpable][ощутимый явный]
[paltry][ничтожный пустяковый]
[panacea][панацея лекарство]
[paradigm][парадигма образец]
[paragon][образец совершенство]
[pariah][изгой отверженный]
[parity][равенство паритет]
[parsimony][скупость бережливость]
[partisan][сторонник приверженец]
[paucity][нехватка дефицит]
[pedantic][педантичный дотошный]
[penchant][склонность расположение]
[pensive][задумчивый печальный]
[penury][нищета бедность]
[perfidious][предательский вероломный]
[perfunctory][поверхностный небрежный]
[peril][опасность риск]
[perjury][лжесвидельство клятвопреступление]
[permeate][проникать пропитывать]
[pernicious][пагубный вредный]
[perpetuate][увековечивать сохранять]
[perplex][запутывать смущать]
[perseverance][настойчивость упорство]
[pertinent][уместный подходящий]
[peruse][изучать просматривать]
[pervasive][вездесущий всеобъемлющий]
