[quack][шарлатан лекарь]
[quadrant][сектор четверть]
[quaff][пить поглощать]
[quagmire][трясина болото]
[quail][дрожать пугаться]
[quaint][необычный причудливый]
[quake][дрожать сотрясаться]
[qualm][сомнение опасение]
[quandary][затруднение недоумение]
[quarantine][карантин изоляция]
[quarrel][ссора раздор]
[quarry][добыча карьер]
[quash][подавлять аннулировать]
[quasi][мнимый почти]
[quaver][дрожать вибрировать]
[queasy][тошнотворный привередливый]
[queer][странный чудной]
[quell][подавлять успокаивать]
[quench][гасить утолять]
[querulous][ворчливый жалующийся]
[query][запрос вопрос]
[quest][поиск стремление]
[queue][очередь последовательность]
[quibble][придирка уклонение]
[quicken][ускорять оживлять]
[quiescent][тихий неподвижный]
[quietus][освобождение финал]
[quintessence][суть воплощение]
[quip][колкость острота]
[quirk][странность причуда]
