[rabid][бешеный яростный]
[radiant][сияющий лучистый]
[rancor][злоба вражда]
[rankle][терзать мучить]
[rant][разглагольствовать кричать]
[rapacious][жадный хищный]
[ratify][утверждать одобрять]
[raucous][хриплый резкий]
[ravage][опустошать разорять]
[ravenous][алчный прожорливый]
[raze][разрушать сносить]
[rebuff][отпор отказ]
[rebuke][упрекать корить]
[recalcitrant][упрямый непокорный]
[recant][отрекаться отказываться]
[recapitulate][резюмировать повторять]
[reciprocal][взаимный ответный]
[recluse][затворник отшельник]
[recondite][сложный неясный]
[rectitude][честность правота]
[redolent][благоухающий напоминающий]
[redoubtable][грозный внушительный]
[redundant][излишний избыточный]
[refute][опровергать оспаривать]
[reiterate][повторять подтверждать]
[relegate][изгонять ссылать]
[relinquish][оставлять уступать]
[reminisce][вспоминать предаваться]
[remiss][небрежный халатный]
[remorse][раскаяние угрызения]
