[sagacious][проницательный мудрый]
[salient][заметный выдающийся]
[salubrious][целебный полезный]
[sanctimonious][ханжеский лицемерный]
[sanguine][оптимистичный уверенный]
[sarcasm][сарказм язвительность]
[satiate][насыщать пресыщать]
[scanty][скудный недостаточный]
[scathing][едкий уничтожающий]
[scrupulous][добросовестный тщательный]
[scrutinize][изучать исследовать]
sedentary][сидячий малоподвижный]
[sedition][крамола мятеж]
[sedulous][усердный прилежный]
[sever][разрывать отделять]
[shun][избегать сторониться]
[sinister][зловещий дурной]
[skeptic][скептик сомневающийся]
[sloth][лень праздность]
[slovenly][неряшливый небрежный]
[sluggish][вялый медлительный]
[solace][утешение успокоение]
[solicitous][заботливый внимательный]
[somber][мрачный хмурый]
[soothe][успокаивать смягчать]
[spasmodic][судорожный порывистый]
[specious][обманчивый показной]
[sporadic][случайный единичный]
[spurious][ложный поддельный]
[squalid][убогий нищенский]
