[tacit][негласный подразумеваемый]
[taciturn][молчаливый замкнутый]
[tactile][осязаемый тактильный]
[taint][пятнать портить]
[tangible][ощутимый реальный]
[tantalize][мучить дразнить]
[tantamount][равносильный эквивалентный]
[tarnish][тускнеть порочить]
[taut][натянутый упругий]
[tedious][нудный скучный]
[temerity][безрассудство смелость]
[temperate][умеренный сдержанный]
[tenable][логичный прочный]
[tenacious][цепкий упорный]
[tentative][пробный неуверенный]
[tenuous][тонкий слабый]
[tepid][теплый равнодушный]
[terse][краткий лаконичный]
[thrifty][бережливый экономный]
[thwart][препятствовать мешать]
[timorous][боязливый робкий]
[tirade][тирада обличение]
[torpid][вялый оцепенелый]
[tortuous][извилистый запутанный]
[tractable][податливый послушный]
[transient][преходящий временный]
[treacherous][предательский коварный]
[tremulous][дрожащий робкий]
[trenchant][острый резкий]
[trepidation][трепет беспокойство]
