[ubiquitous][вездесущий повсеместный]
[umbrage][обида негодование]
[unabated][неослабевающий постоянный]
[uncanny][сверхъестественный странный]
[unconscionable][бессовестный чрезмерный]
[uncouth][грубый неотёсанный]
[unctuous][елейный слащавый]
[undermine][подрывать подтачивать]
[underscore][подчеркивать выделять]
[undulate][волноваться извиваться]
[unfeigned][искренний неподдельный]
[unfettered][неограниченный свободный]
[unfounded][беспричинный необоснованный]
[unilateral][односторонний]
[unkempt][неопрятный растрёпанный]
[unmitigated][абсолютный явный]
[unobtrusive][скромный ненавязчивый]
[unprecedented][беспрецедентный небывалый]
[unruly][непослушный буйный]
[unscrupulous][беспринципный недобросовестный]
[unseemly][непристойный неподобающий]
[untenable][несостоятельный шаткий]
[untoward][неблагоприятный неудачный]
[unwitting][непреднамеренный невольный]
[upbraid][укорять бранить]
[uproar][шум беспорядок]
[urbane][вежливый изысканный]
[usurp][узурпировать захватывать]
[utilitarian][прагматичный полезный]
[utopia][утопия идеал]
