[vacillate][колебаться сомневаться]
[vacuous][пустой бессодержательный]
[vagrant][бродячий кочующий]
[vain][тщеславный напрасный]
[valiant][доблестный храбрый]
[validate][подтверждать ратифицировать]
[valor][отвага мужество]
[vandalize][разрушать портить]
[vanquish][побеждать покорять]
[vapid][пресный скучный]
[variable][изменчивый переменный]
[variegated][пестрый разноцветный]
[vehement][яростный страстный]
[velocity][скорость быстрота]
[venal][продажный корыстный]
[venerate][почитать чтить]
[venial][простительный извинительный]
[venomous][ядовитый злобный]
[veracity][правдивость истинность]
[verbose][многословный болтливый]
[verdant][зеленеющий цветущий]
[verge][грань край]
[verify][проверять подтверждать]
[verisimilitude][правдоподобие достоверность]
[veritable][истинный настоящий]
[versatile][разносторонний гибкий]
[vestige][след остаток]
[vex][раздражать беспокоить]
[viable][жизнеспособный осуществимый]
[vicarious][косвенный замещающий]
