[waddle][переваливаться ковылять]
[waft][нестись веять]
[wag][вилять махать]
[waif][беспризорник скиталец]
[waive][отказываться отменять]
[wallow][барахтаться валяться]
[wan][бледный изнуренный]
[wane][убывать ослабевать]
[wanton][беспричинный распутный]
[warily][осторожно осмотрительно]
[warp][искривлять деформировать]
[warrant][оправдывать гарантировать]
[wary][осторожный подозрительный]
[waver][колебаться дрогнуть]
[wayward][своенравный капризный]
[weary][усталый утомленный]
[weir][плотина преграда]
[welter][разнобой путаница]
[wheedle][выманивать умасливать]
[whet][точить возбуждать]
[whim][прихоть каприз]
[whimsical][причудливый эксцентричный]
[wile][хитрость уловка]
[willful][преднамеренный упрямый]
[wily][хитрый лукавый]
[wince][вздрагивать морщиться]
[winsome][обаятельный прелестный]
[wither][вянуть сохнуть]
[wizened][сморщенный увядший]
[wreak][вымещать давать]
