[yacht][€хта судно]
[yahoo][груби€н невежа]
[yammer][ныть сетовать]
[yap][т€вкать трындеть]
[yardstick][эталон мерило]
[yarn][пр€жа байка]
[yawn][зевать зи€ть]
[yea][да истинно]
[yearn][тосковать стремитьс€]
[yeast][дрожжи закваска]
[yell][кричать вопить]
[yellow][желтый трусливый]
[yelp][визжать т€вкать]
[yen][т€га страсть]
[yeoman][йомен помощник]
[yes-man][подхалим поддакивала]
[yield][уступать давать]
[yielding][податливый гибкий]
[yoke][иго брем€]
[yokel][деревенщина простофил€]
[yon][вон тот]
[yonder][вон там]
[yore][прошлое былое]
[youngster][юноша малец]
[youth][юность молодежь]
[yowl][выть завывать]
[yule][рождество св€тки]
[yummy][вкусный аппетитный]
[yuppie][карьерист щеголь]
[yurt][юрта шатер]
